Date,Open,High,Low,Close,Volume,Trade
2012-01-04,2361.50,2365.99,2298.30,2298.75,343445.66,3257255.12
2012-01-05,2290.78,2316.66,2272.15,2276.39,430164.79,3763527.27
2012-01-06,2274.35,2291.89,2254.57,2290.60,351989.91,3107936.26
2012-01-09,2291.18,2368.89,2271.72,2368.57,547273.42,5147812.66
2012-01-10,2365.77,2449.96,2361.28,2447.35,811549.90,7524915.61
2012-01-11,2444.76,2453.15,2423.32,2435.61,587056.74,5758722.05
2012-01-12,2426.82,2464.38,2423.32,2435.22,471212.75,4787740.67
2012-01-13,2438.41,2445.79,2374.55,2394.33,455139.99,4722833.82
2012-01-16,2376.95,2394.50,2345.63,2345.65,305271.45,3441038.54
2012-01-17,2347.57,2462.43,2329.25,2460.60,642056.50,6432413.29
2012-01-18,2464.92,2485.50,2414.53,2422.19,638923.57,6705883.96
2012-01-19,2423.86,2480.21,2414.99,2468.35,556157.24,5637765.53
2012-01-20,2476.73,2510.34,2462.59,2504.09,545297.82,5747447.40
2012-01-30,2508.88,2508.88,2460.40,2460.72,435171.48,4477088.56
2012-01-31,2462.34,2472.84,2447.77,2464.26,307015.01,3269413.27
2012-02-01,2458.23,2481.66,2423.45,2428.99,350153.73,3775232.00
2012-02-02,2437.47,2486.24,2429.71,2486.24,420669.85,4412638.41
2012-02-03,2478.34,2514.65,2470.28,2506.09,499492.40,5150754.41
2012-02-06,2511.17,2520.76,2488.71,2504.32,450799.05,4754152.24
2012-02-07,2489.03,2489.03,2441.70,2457.95,396791.63,4003427.53
2012-02-08,2456.42,2534.16,2451.00,2528.24,561864.55,6172130.51
2012-02-09,2525.59,2546.03,2513.13,2529.23,592997.53,6345620.28
2012-02-10,2521.68,2560.03,2521.16,2533.62,615758.75,6002948.10
2012-02-13,2504.41,2553.45,2496.30,2531.98,519139.74,5428262.09
2012-02-14,2528.97,2533.26,2506.54,2522.11,404301.00,4372368.18
2012-02-15,2515.83,2562.07,2511.29,2549.61,580903.68,6042239.39
2012-02-16,2544.64,2559.34,2519.04,2536.07,543954.33,5516563.25
2012-02-17,2551.82,2558.34,2522.86,2537.09,389947.16,4045800.24
2012-02-20,2571.91,2574.75,2539.90,2540.71,561533.29,5674891.26
2012-02-21,2544.84,2562.91,2520.79,2562.45,478948.10,4775822.54
2012-02-22,2564.32,2598.86,2560.34,2597.48,763766.58,7642180.81
2012-02-23,2595.78,2614.54,2590.52,2606.26,703771.24,7261208.58
2012-02-24,2607.34,2648.02,2602.78,2648.02,859997.08,8805861.79
2012-02-27,2658.12,2693.84,2656.57,2656.57,1015140.35,10667021.11
2012-02-28,2652.34,2671.83,2641.46,2662.46,775925.35,7721305.70
2012-02-29,2655.86,2666.65,2631.78,2634.14,591202.05,6487522.10
2012-03-01,2622.74,2647.78,2621.86,2633.34,421484.42,4652408.01
2012-03-02,2637.96,2679.93,2637.96,2679.93,641220.35,6698159.31
2012-03-05,2687.74,2694.61,2660.96,2662.70,713954.56,7497325.77
2012-03-06,2654.80,2657.96,2615.60,2621.05,624471.50,6885255.58
2012-03-07,2596.48,2628.59,2594.13,2603.01,569487.31,6324329.27
2012-03-08,2612.40,2645.95,2612.40,2635.79,575494.14,6445885.03
2012-03-09,2644.10,2664.41,2631.41,2664.30,552589.21,6596344.22
2012-03-12,2663.24,2666.43,2636.42,2654.40,623272.14,7436770.51
2012-03-13,2653.68,2681.33,2649.17,2681.07,584044.70,6642976.36
2012-03-14,2694.48,2705.75,2595.34,2605.11,1084265.37,11708040.81
2012-03-15,2602.66,2618.25,2575.44,2585.55,725659.60,7704276.99
2012-03-16,2591.80,2624.32,2577.24,2623.52,580912.59,6745182.21
2012-03-19,2617.66,2631.05,2598.63,2630.01,576466.23,6880393.63
2012-03-20,2622.66,2622.66,2584.02,2584.45,581140.63,6426381.52
2012-03-21,2597.38,2613.27,2569.07,2587.79,580025.45,6667492.15
2012-03-22,2586.94,2599.24,2570.45,2583.75,449267.76,5011550.62
2012-03-23,2575.33,2578.82,2544.53,2552.94,433292.54,4781244.42
2012-03-26,2551.43,2562.93,2540.70,2555.44,318162.10,3635613.29
2012-03-27,2565.55,2571.90,2544.37,2547.14,359446.04,4739445.56
2012-03-28,2538.46,2540.42,2471.03,2474.90,500057.91,5499364.15
2012-03-29,2463.69,2476.48,2429.73,2443.12,461313.02,4865159.58
2012-03-30,2447.94,2461.98,2438.49,2454.90,370270.85,3913973.35
2012-04-05,2449.21,2517.39,2441.27,2512.83,543316.89,5804969.16
2012-04-06,2509.45,2525.53,2502.70,2519.83,423685.76,4720779.67
2012-04-09,2510.53,2518.38,2491.59,2495.15,353709.85,3818075.34
2012-04-10,2490.28,2519.81,2459.35,2519.79,413359.05,4406483.35
2012-04-11,2494.52,2541.13,2489.32,2520.04,425103.10,4362798.28
2012-04-12,2522.83,2570.84,2516.57,2570.44,564884.07,5953694.92
2012-04-13,2575.05,2593.79,2570.03,2580.45,530926.44,6189297.66
2012-04-16,2564.23,2586.20,2559.78,2574.04,408397.00,4265075.51
2012-04-17,2572.36,2578.76,2541.53,2541.88,378154.68,3832841.83
2012-04-18,2550.91,2602.11,2546.00,2599.91,586884.10,5936100.56
2012-04-19,2598.33,2606.86,2585.30,2596.06,464481.08,5551293.24
2012-04-20,2591.51,2627.38,2589.35,2626.84,614463.80,6382990.95
2012-04-23,2624.75,2632.09,2599.11,2606.04,586649.40,6207395.02
2012-04-24,2594.80,2640.30,2559.46,2604.87,711395.58,7315051.32
2012-04-25,2598.23,2631.44,2593.33,2625.99,624680.55,6352945.97
2012-04-26,2632.72,2643.77,2617.09,2631.49,589656.68,6437748.74
2012-04-27,2630.55,2637.92,2623.60,2626.16,482335.85,5334551.76
2012-05-02,2660.67,2697.95,2643.53,2683.49,801486.54,9236609.43
2012-05-03,2679.52,2693.88,2675.81,2691.52,593610.91,7233733.43
2012-05-04,2689.62,2716.03,2677.14,2715.88,632180.84,7369954.92
2012-05-07,2699.45,2717.78,2694.32,2717.78,685473.13,8271567.26
2012-05-08,2717.41,2717.82,2683.56,2709.12,631108.40,7374449.87
2012-05-09,2685.19,2685.19,2655.32,2657.51,584002.82,6948257.79
2012-05-10,2657.87,2667.68,2649.38,2657.21,469625.75,5405695.18
2012-05-11,2652.31,2666.57,2636.52,2636.92,410061.44,4939289.80
2012-05-14,2653.81,2656.28,2613.35,2615.53,520824.83,6033129.47
2012-05-15,2597.64,2618.18,2591.60,2617.37,457672.70,5137475.99
2012-05-16,2610.16,2612.63,2574.08,2574.65,432802.76,4786353.77
2012-05-17,2577.96,2619.59,2571.20,2613.94,437283.89,4920390.86
2012-05-18,2595.55,2603.19,2567.30,2573.98,434221.26,4690751.08
2012-05-21,2572.37,2604.22,2563.97,2587.23,386020.89,4430040.68
2012-05-22,2598.17,2627.60,2597.60,2627.53,427735.30,4939241.47
2012-05-23,2621.79,2635.78,2598.29,2616.87,437195.32,5256340.28
2012-05-24,2613.09,2630.41,2588.21,2595.26,428440.65,5006444.13
2012-05-25,2595.26,2602.17,2565.65,2573.10,392730.04,4142008.32
2012-05-28,2562.60,2614.85,2545.34,2614.69,563392.77,5841234.33
2012-05-29,2615.15,2658.26,2612.56,2650.85,721356.39,7868150.58
2012-05-30,2646.37,2655.16,2636.52,2642.26,518554.37,5697627.34
2012-05-31,2623.16,2645.59,2617.23,2632.04,441074.69,4987504.23
2012-06-01,2633.60,2653.86,2623.29,2633.00,441910.58,5384340.28
2012-06-04,2598.73,2608.32,2558.92,2559.03,524785.00,6061556.94
2012-06-05,2565.19,2573.89,2548.76,2558.84,377799.09,4355330.46
2012-06-06,2564.23,2573.74,2547.33,2557.40,338576.95,4131690.91
2012-06-07,2579.43,2584.04,2536.26,2542.18,348411.85,4205300.12
2012-06-08,2558.84,2559.13,2520.41,2524.33,438564.25,4763800.78
2012-06-11,2529.60,2565.43,2523.77,2558.26,400982.60,4344965.94
2012-06-12,2543.76,2553.92,2529.95,2540.18,379366.76,4025991.17
2012-06-13,2546.79,2581.11,2539.63,2580.64,450145.69,5129127.12
2012-06-14,2573.33,2584.71,2558.57,2560.42,402479.33,4633182.21
2012-06-15,2565.19,2580.17,2538.57,2568.05,427860.79,4886830.28
2012-06-18,2576.63,2593.22,2572.99,2581.21,356936.27,4085245.13
2012-06-19,2577.36,2577.36,2556.10,2558.62,327005.54,3702004.12
2012-06-20,2563.64,2570.66,2549.44,2552.61,298506.39,3357366.89
2012-06-21,2547.05,2547.05,2502.42,2512.19,353967.31,3860795.80
2012-06-25,2501.16,2501.16,2455.01,2456.52,401067.34,4250350.80
2012-06-26,2442.56,2465.12,2434.64,2454.92,317340.08,3389651.15
2012-06-27,2452.67,2470.76,2444.34,2447.20,300075.52,3143759.67
2012-06-28,2451.66,2459.19,2425.24,2425.73,305431.14,3441879.45
2012-06-29,2418.86,2462.82,2417.49,2461.61,379949.41,4097653.96
2012-07-02,2473.55,2473.97,2452.99,2465.24,405100.77,4565147.65
2012-07-03,2464.85,2490.55,2457.45,2468.72,386933.53,4500465.25
2012-07-04,2474.53,2481.34,2455.99,2464.92,344521.42,3783766.02
2012-07-05,2450.30,2450.30,2420.00,2430.37,347261.44,3594620.52
2012-07-06,2435.06,2477.23,2420.36,2472.61,496106.04,5660178.02
2012-07-09,2455.89,2470.21,2414.95,2416.04,492233.01,5460173.21
2012-07-10,2411.00,2426.53,2402.37,2406.71,355499.83,3853902.64
2012-07-11,2402.18,2427.80,2402.15,2425.57,376243.12,3985189.27
2012-07-12,2420.04,2460.56,2404.58,2449.18,567176.91,6513753.70
2012-07-13,2441.01,2467.99,2438.98,2450.63,367252.56,4201358.13
2012-07-16,2452.59,2452.59,2399.61,2399.73,427718.71,4584488.14
2012-07-17,2391.90,2421.93,2391.28,2414.20,334243.30,3828544.31
2012-07-18,2412.06,2420.78,2373.65,2414.34,417517.88,4432549.07
2012-07-19,2407.44,2444.06,2401.29,2424.32,469490.53,4770403.94
2012-07-20,2415.71,2423.80,2392.18,2398.46,376197.53,3668362.44
2012-07-23,2379.89,2379.89,2357.51,2365.43,323903.69,3317892.92
2012-07-24,2353.22,2392.35,2352.80,2375.99,303100.80,3114910.52
2012-07-25,2368.38,2381.04,2357.47,2360.08,248965.02,2573059.89
2012-07-26,2360.13,2374.87,2344.70,2347.49,313140.94,3132639.44
2012-07-27,2353.94,2364.98,2341.29,2349.11,310905.24,3304818.28
2012-07-30,2350.78,2367.03,2334.00,2335.79,304848.51,2990797.21
2012-07-31,2336.88,2350.07,2329.51,2332.92,320997.22,3119633.20
2012-08-01,2332.13,2371.12,2331.95,2358.65,314208.49,3127776.46
2012-08-02,2354.07,2358.56,2325.61,2334.88,315161.60,2975116.70
2012-08-03,2340.25,2354.16,2329.93,2353.74,297697.84,3110694.71
2012-08-06,2350.12,2388.36,2348.12,2385.61,418206.64,4368668.67
2012-08-07,2383.26,2390.78,2379.45,2388.87,382854.89,4040371.00
2012-08-08,2390.96,2405.18,2382.82,2389.80,378104.50,4134086.25
2012-08-09,2388.43,2412.14,2378.85,2411.70,356589.52,4325609.88
2012-08-10,2409.94,2413.42,2395.91,2399.75,347029.94,4069922.41
2012-08-13,2394.50,2394.50,2350.81,2351.93,447835.44,4624967.68
2012-08-14,2352.66,2357.85,2324.91,2357.02,398500.66,4240468.79
2012-08-15,2350.02,2350.02,2330.15,2331.61,305801.75,3033255.53
2012-08-16,2327.91,2335.40,2317.06,2319.67,259029.04,2707600.38
