Year,Month,USGDP
1947,1,2.4309999999999997e11
1947,4,2.463e11
1947,7,2.501e11
1947,10,2.6029999999999997e11
1948,1,2.662e11
1948,4,2.7289999999999997e11
1948,7,2.795e11
1948,10,2.807e11
1949,1,2.754e11
1949,4,2.717e11
1949,7,2.733e11
1949,10,2.7100000000000003e11
1950,1,2.812e11
1950,4,2.907e11
1950,7,3.085e11
1950,10,3.203e11
1951,1,3.364e11
1951,4,3.445e11
1951,7,3.518e11
1951,10,3.566e11
1952,1,3.602e11
1952,4,3.614e11
1952,7,3.681e11
1952,10,3.812e11
1953,1,3.885e11
1953,4,3.923e11
1953,7,3.917e11
1953,10,3.865e11
1954,1,3.8589999999999994e11
1954,4,3.867e11
1954,7,3.916e11
1954,10,4.003e11
1955,1,4.138e11
1955,4,4.2219999999999994e11
1955,7,4.309e11
1955,10,4.3779999999999994e11
1956,1,4.405e11
1956,4,4.468e11
1956,7,4.52e11
1956,10,4.613e11
1957,1,4.7059999999999994e11
1957,4,4.728e11
1957,7,4.803e11
1957,10,4.757e11
1958,1,4.684e11
1958,4,4.728e11
1958,7,4.8669999999999994e11
1958,10,5.0039999999999994e11
1959,1,5.111e11
1959,4,5.242e11
1959,7,5.252e11
1959,10,5.292999999999999e11
1960,1,5.432999999999999e11
1960,4,5.4270000000000006e11
1960,7,5.4600000000000006e11
1960,10,5.411e11
1961,1,5.4589999999999994e11
1961,4,5.574e11
1961,7,5.682e11
1961,10,5.816e11
1962,1,5.952e11
1962,4,6.026e11
1962,7,6.096e11
1962,10,6.131e11
1963,1,6.227e11
1963,4,6.318e11
1963,7,6.45e11
1963,10,6.547999999999999e11
1964,1,6.712e11
1964,4,6.808e11
1964,7,6.928e11
1964,10,6.984e11
1965,1,7.192e11
1965,4,7.324e11
1965,7,7.502e11
1965,10,7.731e11
1966,1,7.973e11
1966,4,8.072e11
1966,7,8.208e11
1966,10,8.349e11
1967,1,8.46e11
1967,4,8.511e11
1967,7,8.666e11
1967,10,8.832e11
1968,1,9.111e11
1968,4,9.363e11
1968,7,9.523e11
1968,10,9.701e11
1969,1,9.954e11
1969,4,1.0114000000000001e12
1969,7,1.032e12
1969,10,1.0407e12
1970,1,1.0534999999999999e12
1970,4,1.0700999999999999e12
1970,7,1.0885e12
1970,10,1.0914999999999999e12
1971,1,1.1378e12
1971,4,1.1594e12
1971,7,1.1803e12
1971,10,1.1936e12
1972,1,1.2338e12
1972,4,1.2701e12
1972,7,1.2938e12
1972,10,1.332e12
1973,1,1.3807e12
1973,4,1.4176e12
1973,7,1.4368e12
1973,10,1.4790999999999998e12
1974,1,1.4947e12
1974,4,1.5342e12
1974,7,1.5634e12
1974,10,1.603e12
1975,1,1.6196e12
1975,4,1.6563999999999998e12
1975,7,1.7138e12
1975,10,1.7659e12
1976,1,1.8245e12
1976,4,1.8569e12
1976,7,1.8905e12
1976,10,1.9384e12
1977,1,1.9925e12
1977,4,2.0601999999999995e12
1977,7,2.1223999999999998e12
1977,10,2.1686999999999998e12
1978,1,2.2087e12
1978,4,2.3366e12
1978,7,2.3989e12
1978,10,2.4821999999999995e12
1979,1,2.5316e12
1979,4,2.5959e12
1979,7,2.6704e12
1979,10,2.7307e12
1980,1,2.7965e12
1980,4,2.7999e12
1980,7,2.86e12
1980,10,2.9935e12
1981,1,3.1318e12
1981,4,3.1672e12
1981,7,3.2612e12
1981,10,3.2835e12
1982,1,3.2738e12
1982,4,3.3313e12
1982,7,3.3671e12
1982,10,3.4078e12
1983,1,3.4802999999999995e12
1983,4,3.5838e12
1983,7,3.6923e12
1983,10,3.7961e12
1984,1,3.9128e12
1984,4,4.0149999999999995e12
1984,7,4.0873999999999995e12
1984,10,4.1476000000000005e12
1985,1,4.237e12
1985,4,4.3023e12
1985,7,4.3946000000000005e12
1985,10,4.4531e12
1986,1,4.5163e12
1986,4,4.5552e12
1986,7,4.6196e12
1986,10,4.6694e12
1987,1,4.7362e12
1987,4,4.8214e12
1987,7,4.9005e12
1987,10,5.022699999999999e12
1988,1,5.0906e12
1988,4,5.2077e12
1988,7,5.2995e12
1988,10,5.4127e12
1989,1,5.5273e12
1989,4,5.6284e12
1989,7,5.7115e12
1989,10,5.7634e12
1990,1,5.8908e12
1990,4,5.9746e12
1990,7,6.0295e12
1990,10,6.0233e12
1991,1,6.0548e12
1991,4,6.1436e12
1991,7,6.2184e12
1991,10,6.2793e12
1992,1,6.3808e12
1992,4,6.4923e12
1992,7,6.5865e12
1992,10,6.6975e12
1993,1,6.7482e12
1993,4,6.8296e12
1993,7,6.904199999999999e12
1993,10,7.0328e12
1994,1,7.1362e12
1994,4,7.2698e12
1994,7,7.3522e12
1994,10,7.476599999999999e12
1995,1,7.5453e12
1995,4,7.6049e12
1995,7,7.7065e12
1995,10,7.7995e12
1996,1,7.8931e12
1996,4,8.061500000000001e12
1996,7,8.159000000000001e12
1996,10,8.286999999999999e12
1997,1,8.401999999999999e12
1997,4,8.5519e12
1997,7,8.691700000000001e12
1997,10,8.7883e12
1998,1,8.8897e12
1998,4,8.9947e12
1998,7,9.1465e12
1998,10,9.3256e12
1999,1,9.4503e12
1999,4,9.5615e12
1999,7,9.7187e12
1999,10,9.9323e12
2000,1,1.00361e13
2000,4,1.02837e13
2000,7,1.03638e13
2000,10,1.0475299999999998e13
2001,1,1.05125e13
2001,4,1.06416e13
2001,7,1.06443e13
2001,10,1.07027e13
2002,1,1.08373e13
2002,4,1.0938e13
2002,7,1.10398e13
2002,10,1.11057e13
2003,1,1.12308e13
2003,4,1.13714e13
2003,7,1.16284e13
2003,10,1.18185e13
2004,1,1.19914e13
2004,4,1.21835e13
2004,7,1.23694e13
2004,10,1.25638e13
2005,1,1.28162e13
2005,4,1.29757e13
2005,7,1.32065e13
2005,10,1.33833e13
2006,1,1.36498e13
2006,4,1.38029e13
2006,7,1.3910499999999998e13
2006,10,1.40684e13
2007,1,1.4235e13
2007,4,1.44245e13
2007,7,1.45719e13
2007,10,1.469e13
2008,1,1.46729e13
2008,4,1.48171e13
2008,7,1.48443e13
2008,10,1.45467e13
2009,1,1.43812e13
2009,4,1.43421e13
2009,7,1.43844e13
2009,10,1.45641e13
2010,1,1.46725e13
2010,4,1.48792e13
2010,7,1.50498e13
2010,10,1.52317e13
2011,1,1.52429e13
2011,4,1.54619e13
2011,7,1.56118e13
2011,10,1.58187e13
2012,1,1.6041599999999998e13
2012,4,1.61604e13
2012,7,1.6355999999999998e13
2012,10,1.6420300000000002e13
2013,1,1.65353e13
2013,4,1.6667900000000004e13
